time,V(2)
0.000000000e+00,1.000000000e-14
1.000000000e-05,9.950206325e-02
2.000000000e-05,1.980140604e-01
3.000000000e-05,2.955458429e-01
4.000000000e-05,3.921071641e-01
5.000000000e-05,4.877076801e-01
6.000000000e-05,5.823569514e-01
7.000000000e-05,6.760644428e-01
8.000000000e-05,7.688395253e-01
9.000000000e-05,8.606914767e-01
1.000000000e-04,9.516294822e-01
1.100000000e-04,1.041662636e+00
1.200000000e-04,1.130799941e+00
1.300000000e-04,1.219050311e+00
1.400000000e-04,1.306422573e+00
1.500000000e-04,1.392925462e+00
1.600000000e-04,1.478567629e+00
1.700000000e-04,1.563357639e+00
1.800000000e-04,1.647303972e+00
1.900000000e-04,1.730415020e+00
2.000000000e-04,1.812699097e+00
2.100000000e-04,1.894164430e+00
2.200000000e-04,1.974819167e+00
2.300000000e-04,2.054671372e+00
2.400000000e-04,2.133729031e+00
2.500000000e-04,2.212000050e+00
2.600000000e-04,2.289492257e+00
2.700000000e-04,2.366213399e+00
2.800000000e-04,2.442171151e+00
2.900000000e-04,2.517373108e+00
3.000000000e-04,2.591826789e+00
3.100000000e-04,2.665539641e+00
3.200000000e-04,2.738519035e+00
3.300000000e-04,2.810772269e+00
3.400000000e-04,2.882306568e+00
3.500000000e-04,2.953129086e+00
3.600000000e-04,3.023246906e+00
3.700000000e-04,3.092667038e+00
3.800000000e-04,3.161396427e+00
3.900000000e-04,3.229441943e+00
4.000000000e-04,3.296810393e+00
4.100000000e-04,3.363508512e+00
4.200000000e-04,3.429542972e+00
4.300000000e-04,3.494920375e+00
4.400000000e-04,3.559647259e+00
4.500000000e-04,3.623730098e+00
4.600000000e-04,3.687175299e+00
4.700000000e-04,3.749989207e+00
4.800000000e-04,3.812178104e+00
4.900000000e-04,3.873748209e+00
5.000000000e-04,3.934705678e+00
5.100000000e-04,3.995056608e+00
5.200000000e-04,4.054807034e+00
5.300000000e-04,4.113962931e+00
5.400000000e-04,4.172530214e+00
5.500000000e-04,4.230514741e+00
5.600000000e-04,4.287922309e+00
5.700000000e-04,4.344758661e+00
