Time,Input,Output,DiodeCurrent
0.000000,0.000000,0.671138,-0.000671
0.000000,0.003142,0.671124,-0.000674
0.000000,0.006283,0.671110,-0.000677
0.000000,0.009425,0.671096,-0.000681
0.000000,0.012566,0.671082,-0.000684
0.000000,0.015708,0.671068,-0.000687
0.000001,0.018850,0.671054,-0.000690
0.000001,0.021991,0.671040,-0.000693
0.000001,0.025133,0.671026,-0.000696
0.000001,0.028274,0.671011,-0.000699
0.000001,0.031416,0.670997,-0.000702
0.000001,0.034557,0.670983,-0.000706
0.000001,0.037699,0.670969,-0.000709
0.000001,0.040840,0.670955,-0.000712
0.000001,0.043982,0.670941,-0.000715
0.000002,0.047123,0.670927,-0.000718
0.000002,0.050265,0.670913,-0.000721
0.000002,0.053406,0.670899,-0.000724
0.000002,0.056547,0.670885,-0.000727
0.000002,0.059689,0.670871,-0.000731
0.000002,0.062830,0.670857,-0.000734
0.000002,0.065972,0.670843,-0.000737
0.000002,0.069113,0.670829,-0.000740
0.000002,0.072254,0.670815,-0.000743
0.000002,0.075395,0.670801,-0.000746
0.000002,0.078537,0.670787,-0.000749
0.000003,0.081678,0.670773,-0.000752
0.000003,0.084819,0.670759,-0.000756
0.000003,0.087960,0.670745,-0.000759
0.000003,0.091101,0.670731,-0.000762
0.000003,0.094242,0.670717,-0.000765
0.000003,0.097383,0.670703,-0.000768
0.000003,0.100524,0.670689,-0.000771
0.000003,0.103665,0.670675,-0.000774
0.000003,0.106806,0.670661,-0.000777
0.000003,0.109947,0.670647,-0.000781
0.000004,0.113088,0.670633,-0.000784
0.000004,0.116228,0.670619,-0.000787
0.000004,0.119369,0.670604,-0.000790
0.000004,0.122510,0.670590,-0.000793
0.000004,0.125650,0.670576,-0.000796
0.000004,0.128791,0.670562,-0.000799
0.000004,0.131932,0.670548,-0.000802
0.000004,0.135072,0.670534,-0.000806
0.000004,0.138212,0.670520,-0.000809
0.000005,0.141353,0.670506,-0.000812
0.000005,0.144493,0.670492,-0.000815
0.000005,0.147633,0.670478,-0.000818
0.000005,0.150774,0.670464,-0.000821
0.000005,0.153914,0.670450,-0.000824
0.000005,0.157054,0.670436,-0.000827
0.000005,0.160194,0.670422,-0.000831
