Time,InputA,InputB,Output
0.000000,5.000000,5.000000,-5.661445
0.000001,5.000000,5.000000,-5.661445
0.000002,5.000000,5.000000,-5.661445
0.000003,5.000000,5.000000,-5.661445
0.000004,5.000000,5.000000,-5.661445
0.000005,5.000000,5.000000,-5.661445
0.000006,5.000000,5.000000,-5.661445
0.000007,5.000000,5.000000,-5.661445
0.000008,5.000000,5.000000,-5.661445
0.000009,5.000000,5.000000,-5.661445
0.000010,5.000000,5.000000,-5.661445
0.000011,5.000000,5.000000,-5.661445
0.000012,5.000000,5.000000,-5.661445
0.000013,5.000000,5.000000,-5.661445
0.000014,5.000000,5.000000,-5.661445
0.000015,5.000000,5.000000,-5.661445
0.000016,5.000000,5.000000,-5.661445
0.000017,5.000000,5.000000,-5.661445
0.000018,5.000000,5.000000,-5.661445
0.000019,5.000000,5.000000,-5.661445
0.000020,5.000000,5.000000,-5.661445
0.000021,5.000000,5.000000,-5.661445
0.000022,5.000000,5.000000,-5.661445
0.000023,5.000000,5.000000,-5.661445
0.000024,5.000000,5.000000,-5.661445
0.000025,5.000000,5.000000,-5.661445
0.000026,5.000000,5.000000,-5.661445
0.000027,5.000000,5.000000,-5.661445
0.000028,5.000000,5.000000,-5.661445
0.000029,5.000000,5.000000,-5.661445
0.000030,5.000000,5.000000,-5.661445
0.000031,5.000000,5.000000,-5.661445
0.000032,5.000000,5.000000,-5.661445
0.000033,5.000000,5.000000,-5.661445
0.000034,5.000000,5.000000,-5.661445
0.000035,5.000000,5.000000,-5.661445
0.000036,5.000000,5.000000,-5.661445
0.000037,5.000000,5.000000,-5.661445
0.000038,5.000000,5.000000,-5.661445
0.000039,5.000000,5.000000,-5.661445
0.000040,5.000000,5.000000,-5.661445
0.000041,5.000000,5.000000,-5.661445
0.000042,5.000000,5.000000,-5.661445
0.000043,5.000000,5.000000,-5.661445
0.000044,5.000000,5.000000,-5.661445
0.000045,5.000000,5.000000,-5.661445
0.000046,5.000000,5.000000,-5.661445
0.000047,5.000000,5.000000,-5.661445
0.000048,5.000000,5.000000,-5.661445
0.000049,5.000000,5.000000,-5.661445
0.000050,0.000000,5.000000,-3.167043
0.000051,0.000000,5.000000,-3.167043
0.000052,0.000000,5.000000,-3.167043
0.000053,0.000000,5.000000,-3.167043
0.000054,0.000000,5.000000,-3.167043
0.000055,0.000000,5.000000,-3.167043
0.000056,0.000000,5.000000,-3.167043
0.000057,0.000000,5.000000,-3.167043
0.000058,0.000000,5.000000,-3.167043
0.000059,0.000000,5.000000,-3.167043
0.000060,0.000000,5.000000,-3.167043
0.000061,0.000000,5.000000,-3.167043
0.000062,0.000000,5.000000,-3.167043
0.000063,0.000000,5.000000,-3.167043
0.000064,0.000000,5.000000,-3.167043
0.000065,0.000000,5.000000,-3.167043
0.000066,0.000000,5.000000,-3.167043
0.000067,0.000000,5.000000,-3.167043
0.000068,0.000000,5.000000,-3.167043
0.000069,0.000000,5.000000,-3.167043
0.000070,0.000000,5.000000,-3.167043
0.000071,0.000000,5.000000,-3.167043
0.000072,0.000000,5.000000,-3.167043
0.000073,0.000000,5.000000,-3.167043
0.000074,0.000000,5.000000,-3.167043
0.000075,0.000000,0.000000,-0.672641
0.000076,0.000000,0.000000,-0.672641
0.000077,0.000000,0.000000,-0.672641
0.000078,0.000000,0.000000,-0.672641
0.000079,0.000000,0.000000,-0.672641
0.000080,0.000000,0.000000,-0.672641
0.000081,0.000000,0.000000,-0.672641
0.000082,0.000000,0.000000,-0.672641
0.000083,0.000000,0.000000,-0.672641
0.000084,0.000000,0.000000,-0.672641
0.000085,0.000000,0.000000,-0.672641
0.000086,0.000000,0.000000,-0.672641
0.000087,0.000000,0.000000,-0.672641
0.000088,0.000000,0.000000,-0.672641
0.000089,0.000000,0.000000,-0.672641
0.000090,0.000000,0.000000,-0.672641
0.000091,0.000000,0.000000,-0.672641
0.000092,0.000000,0.000000,-0.672641
0.000093,0.000000,0.000000,-0.672641
0.000094,0.000000,0.000000,-0.672641
0.000095,0.000000,0.000000,-0.672641
0.000096,0.000000,0.000000,-0.672641
0.000097,0.000000,0.000000,-0.672641
0.000098,0.000000,0.000000,-0.672641
0.000099,0.000000,0.000000,-0.672641
0.000100,5.000000,0.000000,-3.167043
0.000101,5.000000,0.000000,-3.167043
0.000102,5.000000,0.000000,-3.167043
0.000103,5.000000,0.000000,-3.167043
0.000104,5.000000,0.000000,-3.167043
0.000105,5.000000,0.000000,-3.167043
0.000106,5.000000,0.000000,-3.167043
0.000107,5.000000,0.000000,-3.167043
0.000108,5.000000,0.000000,-3.167043
0.000109,5.000000,0.000000,-3.167043
0.000110,5.000000,0.000000,-3.167043
0.000111,5.000000,0.000000,-3.167043
0.000112,5.000000,0.000000,-3.167043
0.000113,5.000000,0.000000,-3.167043
0.000114,5.000000,0.000000,-3.167043
0.000115,5.000000,0.000000,-3.167043
0.000116,5.000000,0.000000,-3.167043
0.000117,5.000000,0.000000,-3.167043
0.000118,5.000000,0.000000,-3.167043
0.000119,5.000000,0.000000,-3.167043
0.000120,5.000000,0.000000,-3.167043
0.000121,5.000000,0.000000,-3.167043
0.000122,5.000000,0.000000,-3.167043
0.000123,5.000000,0.000000,-3.167043
0.000124,5.000000,0.000000,-3.167043
0.000125,5.000000,0.000000,-3.167043
0.000126,5.000000,0.000000,-3.167043
0.000127,5.000000,0.000000,-3.167043
0.000128,5.000000,0.000000,-3.167043
0.000129,5.000000,0.000000,-3.167043
0.000130,5.000000,0.000000,-3.167043
0.000131,5.000000,0.000000,-3.167043
0.000132,5.000000,0.000000,-3.167043
0.000133,5.000000,0.000000,-3.167043
0.000134,5.000000,0.000000,-3.167043
0.000135,5.000000,0.000000,-3.167043
0.000136,5.000000,0.000000,-3.167043
0.000137,5.000000,0.000000,-3.167043
0.000138,5.000000,0.000000,-3.167043
0.000139,5.000000,0.000000,-3.167043
0.000140,5.000000,0.000000,-3.167043
0.000141,5.000000,0.000000,-3.167043
0.000142,5.000000,0.000000,-3.167043
0.000143,5.000000,0.000000,-3.167043
0.000144,5.000000,0.000000,-3.167043
0.000145,5.000000,0.000000,-3.167043
0.000146,5.000000,0.000000,-3.167043
0.000147,5.000000,0.000000,-3.167043
0.000148,5.000000,0.000000,-3.167043
0.000149,5.000000,0.000000,-3.167043
0.000150,0.000000,5.000000,-3.167043
0.000151,0.000000,5.000000,-3.167043
0.000152,0.000000,5.000000,-3.167043
0.000153,0.000000,5.000000,-3.167043
0.000154,0.000000,5.000000,-3.167043
0.000155,0.000000,5.000000,-3.167043
0.000156,0.000000,5.000000,-3.167043
0.000157,0.000000,5.000000,-3.167043
0.000158,0.000000,5.000000,-3.167043
0.000159,0.000000,5.000000,-3.167043
0.000160,0.000000,5.000000,-3.167043
0.000161,0.000000,5.000000,-3.167043
0.000162,0.000000,5.000000,-3.167043
0.000163,0.000000,5.000000,-3.167043
0.000164,0.000000,5.000000,-3.167043
0.000165,0.000000,5.000000,-3.167043
0.000166,0.000000,5.000000,-3.167043
0.000167,0.000000,5.000000,-3.167043
0.000168,0.000000,5.000000,-3.167043
0.000169,0.000000,5.000000,-3.167043
0.000170,0.000000,5.000000,-3.167043
0.000171,0.000000,5.000000,-3.167043
0.000172,0.000000,5.000000,-3.167043
0.000173,0.000000,5.000000,-3.167043
0.000174,0.000000,5.000000,-3.167043
0.000175,0.000000,5.000000,-3.167043
0.000176,0.000000,5.000000,-3.167043
0.000177,0.000000,5.000000,-3.167043
0.000178,0.000000,5.000000,-3.167043
0.000179,0.000000,5.000000,-3.167043
0.000180,0.000000,5.000000,-3.167043
0.000181,0.000000,5.000000,-3.167043
0.000182,0.000000,5.000000,-3.167043
0.000183,0.000000,5.000000,-3.167043
0.000184,0.000000,5.000000,-3.167043
0.000185,0.000000,5.000000,-3.167043
0.000186,0.000000,5.000000,-3.167043
0.000187,0.000000,5.000000,-3.167043
0.000188,0.000000,5.000000,-3.167043
0.000189,0.000000,5.000000,-3.167043
0.000190,0.000000,5.000000,-3.167043
0.000191,0.000000,5.000000,-3.167043
0.000192,0.000000,5.000000,-3.167043
0.000193,0.000000,5.000000,-3.167043
0.000194,0.000000,5.000000,-3.167043
0.000195,0.000000,5.000000,-3.167043
