Time,Input,Output,DiodeCurrent
0.000000,0.000000,-0.671138,-0.000671
0.000000,0.003142,-0.674265,-0.000674
0.000000,0.006283,-0.677393,-0.000677
0.000000,0.009425,-0.680520,-0.000681
0.000000,0.012566,-0.683648,-0.000684
0.000000,0.015708,-0.686776,-0.000687
0.000001,0.018850,-0.689903,-0.000690
0.000001,0.021991,-0.693031,-0.000693
0.000001,0.025133,-0.696158,-0.000696
0.000001,0.028274,-0.699286,-0.000699
0.000001,0.031416,-0.702413,-0.000702
0.000001,0.034557,-0.705541,-0.000706
0.000001,0.037699,-0.708668,-0.000709
0.000001,0.040840,-0.711796,-0.000712
0.000001,0.043982,-0.714923,-0.000715
0.000002,0.047123,-0.718050,-0.000718
0.000002,0.050265,-0.721178,-0.000721
0.000002,0.053406,-0.724305,-0.000724
0.000002,0.056547,-0.727433,-0.000727
0.000002,0.059689,-0.730560,-0.000731
0.000002,0.062830,-0.733687,-0.000734
0.000002,0.065972,-0.736815,-0.000737
0.000002,0.069113,-0.739942,-0.000740
0.000002,0.072254,-0.743069,-0.000743
0.000002,0.075395,-0.746196,-0.000746
0.000002,0.078537,-0.749324,-0.000749
0.000003,0.081678,-0.752451,-0.000752
0.000003,0.084819,-0.755578,-0.000756
0.000003,0.087960,-0.758705,-0.000759
0.000003,0.091101,-0.761832,-0.000762
0.000003,0.094242,-0.764959,-0.000765
0.000003,0.097383,-0.768086,-0.000768
0.000003,0.100524,-0.771213,-0.000771
0.000003,0.103665,-0.774340,-0.000774
0.000003,0.106806,-0.777467,-0.000777
0.000003,0.109947,-0.780593,-0.000781
0.000004,0.113088,-0.783720,-0.000784
0.000004,0.116228,-0.786847,-0.000787
0.000004,0.119369,-0.789974,-0.000790
0.000004,0.122510,-0.793100,-0.000793
0.000004,0.125650,-0.796227,-0.000796
0.000004,0.128791,-0.799353,-0.000799
0.000004,0.131932,-0.802480,-0.000802
0.000004,0.135072,-0.805606,-0.000806
0.000004,0.138212,-0.808733,-0.000809
0.000005,0.141353,-0.811859,-0.000812
0.000005,0.144493,-0.814985,-0.000815
0.000005,0.147633,-0.818112,-0.000818
0.000005,0.150774,-0.821238,-0.000821
0.000005,0.153914,-0.824364,-0.000824
0.000005,0.157054,-0.827490,-0.000827
0.000005,0.160194,-0.830616,-0.000831
0.000005,0.163334,-0.833742,-0.000834
0.000005,0.166474,-0.836868,-0.000837
0.000005,0.169613,-0.839993,-0.000840
0.000005,0.172753,-0.843119,-0.000843
0.000006,0.175893,-0.846245,-0.000846
0.000006,0.179033,-0.849370,-0.000849
0.000006,0.182172,-0.852496,-0.000852
0.000006,0.185312,-0.855621,-0.000856
