Time (s),Source Voltage (V),Node 1 Voltage (V),Node 2 Voltage (V),Resistor Voltage (V),Resistor Current (A),Diode Current (A)
0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000e+00,0.000000e+00
0.000001,0.031416,-0.031416,-0.031416,-0.000000,-3.141572e-14,0.000000e+00
0.000002,0.062830,-0.062830,-0.062830,-0.000000,-3.141448e-14,0.000000e+00
0.000003,0.094242,-0.094242,-0.094242,-0.000000,-3.141200e-14,0.000000e+00
0.000004,0.125650,-0.125650,-0.125650,-0.000000,-3.140829e-14,0.000000e+00
0.000005,0.157054,-0.157054,-0.157054,-0.000000,-3.140332e-14,0.000000e+00
0.000006,0.188451,-0.188451,-0.188451,-0.000000,-3.139711e-14,0.000000e+00
0.000007,0.219841,-0.219841,-0.219841,-0.000000,-3.138967e-14,0.000000e+00
0.000008,0.251222,-0.251222,-0.251222,-0.000000,-3.138101e-14,0.000000e+00
0.000009,0.282593,-0.282593,-0.282593,-0.000000,-3.137107e-14,0.000000e+00
0.000010,0.313953,-0.313953,-0.313953,-0.000000,-3.135986e-14,0.000000e+00
0.000011,0.345300,-0.345300,-0.345300,-0.000000,-3.134754e-14,0.000000e+00
0.000012,0.376634,-0.376634,-0.376634,-0.000000,-3.133388e-14,0.000000e+00
0.000013,0.407953,-0.407953,-0.407953,-0.000000,-3.131900e-14,0.000000e+00
0.000014,0.439256,-0.439256,-0.439256,-0.000000,-3.130290e-14,0.000000e+00
0.000015,0.470542,-0.470542,-0.470542,-0.000000,-3.128559e-14,0.000000e+00
0.000016,0.501809,-0.501809,-0.501809,-0.000000,-3.126699e-14,0.000000e+00
0.000017,0.533056,-0.533056,-0.533056,-0.000000,-3.124723e-14,0.000000e+00
0.000018,0.564282,-0.564282,-0.564282,-0.000000,-3.122602e-14,0.000000e+00
0.000019,0.595486,-0.595486,-0.595486,-0.000000,-3.120382e-14,0.000000e+00
0.000020,0.626666,-0.626666,-0.626666,-0.000000,-3.118039e-14,0.000000e+00
0.000021,0.657822,-0.657822,-0.657822,-0.000000,-3.115563e-14,0.000000e+00
0.000022,0.688951,-0.688951,-0.688951,-0.000000,-3.112965e-14,0.000000e+00
0.000023,0.720054,-0.720054,-0.720054,-0.000000,-3.110234e-14,0.000000e+00
0.000024,0.751128,-0.751128,-0.751128,-0.000000,-3.107403e-14,0.000000e+00
0.000025,0.782172,-0.782172,-0.782172,-0.000000,-3.104439e-14,0.000000e+00
0.000026,0.813186,-0.813186,-0.813186,-0.000000,-3.101353e-14,0.000000e+00
0.000027,0.844167,-0.844167,-0.844167,-0.000000,-3.098144e-14,0.000000e+00
0.000028,0.875115,-0.875115,-0.875115,-0.000000,-3.094802e-14,0.000000e+00
0.000029,0.906029,-0.906029,-0.906029,-0.000000,-3.091349e-14,0.000000e+00
0.000030,0.936907,-0.936907,-0.936907,-0.000000,-3.087774e-14,0.000000e+00
0.000031,0.967747,-0.967747,-0.967747,-0.000000,-3.084077e-14,0.000000e+00
0.000032,0.998550,-0.998550,-0.998550,-0.000000,-3.080258e-14,0.000000e+00
0.000033,1.029313,-1.029313,-1.029313,-0.000000,-3.076295e-14,0.000000e+00
0.000034,1.060036,-1.060036,-1.060036,-0.000000,-3.072254e-14,0.000000e+00
0.000035,1.090716,-1.090716,-1.090716,-0.000000,-3.068079e-14,0.000000e+00
0.000036,1.121354,-1.121354,-1.121354,-0.000000,-3.063749e-14,0.000000e+00
0.000037,1.151947,-1.151947,-1.151947,-0.000000,-3.059308e-14,0.000000e+00
0.000038,1.182495,-1.182495,-1.182495,-0.000000,-3.054801e-14,0.000000e+00
0.000039,1.212996,-1.212996,-1.212996,-0.000000,-3.050116e-14,0.000000e+00
0.000040,1.243449,-1.243449,-1.243449,-0.000000,-3.045342e-14,0.000000e+00
0.000041,1.273854,-1.273854,-1.273854,-0.000000,-3.040435e-14,0.000000e+00
0.000042,1.304208,-1.304208,-1.304208,-0.000000,-3.035394e-14,0.000000e+00
0.000043,1.334510,-1.334510,-1.334510,-0.000000,-3.030221e-14,0.000000e+00
0.000044,1.364760,-1.364760,-1.364760,-0.000000,-3.024958e-14,0.000000e+00
0.000045,1.394956,-1.394956,-1.394956,-0.000000,-3.019585e-14,0.000000e+00
0.000046,1.425096,-1.425096,-1.425096,-0.000000,-3.014078e-14,0.000000e+00
0.000047,1.455181,-1.455181,-1.455181,-0.000000,-3.008460e-14,0.000000e+00
0.000048,1.485208,-1.485208,-1.485208,-0.000000,-3.002709e-14,0.000000e+00
0.000049,1.515176,-1.515176,-1.515176,-0.000000,-2.996825e-14,0.000000e+00
0.000050,1.545085,-1.545085,-1.545085,-0.000000,-2.990852e-14,0.000000e+00
0.000051,1.574933,-1.574933,-1.574933,-0.000000,-2.984768e-14,0.000000e+00
0.000052,1.604718,-1.604718,-1.604718,-0.000000,-2.978529e-14,0.000000e+00
0.000053,1.634440,-1.634440,-1.634440,-0.000000,-2.972200e-14,0.000000e+00
0.000054,1.664098,-1.664098,-1.664098,-0.000000,-2.965761e-14,0.000000e+00
0.000055,1.693690,-1.693690,-1.693690,-0.000000,-2.959188e-14,0.000000e+00
0.000056,1.723215,-1.723215,-1.723215,-0.000000,-2.952505e-14,0.000000e+00
0.000057,1.752672,-1.752672,-1.752672,-0.000000,-2.945688e-14,0.000000e+00
0.000058,1.782059,-1.782059,-1.782059,-0.000000,-2.938783e-14,0.000000e+00
0.000059,1.811377,-1.811377,-1.811377,-0.000000,-2.931766e-14,0.000000e+00
0.000060,1.840623,-1.840623,-1.840623,-0.000000,-2.924594e-14,0.000000e+00
0.000061,1.869796,-1.869796,-1.869796,-0.000000,-2.917333e-14,0.000000e+00
0.000062,1.898895,-1.898895,-1.898895,-0.000000,-2.909939e-14,0.000000e+00
0.000063,1.927920,-1.927920,-1.927920,-0.000000,-2.902434e-14,0.000000e+00
0.000064,1.956868,-1.956868,-1.956868,-0.000000,-2.894818e-14,0.000000e+00
0.000065,1.985739,-1.985739,-1.985739,-0.000000,-2.887113e-14,0.000000e+00
0.000066,2.014532,-2.014532,-2.014532,-0.000000,-2.879297e-14,0.000000e+00
0.000067,2.043245,-2.043245,-2.043245,-0.000000,-2.871348e-14,0.000000e+00
0.000068,2.071878,-2.071878,-2.071878,-0.000000,-2.863265e-14,0.000000e+00
0.000069,2.100429,-2.100429,-2.100429,-0.000000,-2.855050e-14,0.000000e+00
0.000070,2.128896,-2.128896,-2.128896,-0.000000,-2.846789e-14,0.000000e+00
0.000071,2.157280,-2.157280,-2.157280,-0.000000,-2.838396e-14,0.000000e+00
0.000072,2.185579,-2.185579,-2.185579,-0.000000,-2.829825e-14,0.000000e+00
0.000073,2.213791,-2.213791,-2.213791,-0.000000,-2.821210e-14,0.000000e+00
0.000074,2.241916,-2.241916,-2.241916,-0.000000,-2.812506e-14,0.000000e+00
0.000075,2.269952,-2.269952,-2.269952,-0.000000,-2.803624e-14,0.000000e+00
0.000076,2.297899,-2.297899,-2.297899,-0.000000,-2.794698e-14,0.000000e+00
0.000077,2.325755,-2.325755,-2.325755,-0.000000,-2.785594e-14,0.000000e+00
0.000078,2.353520,-2.353520,-2.353520,-0.000000,-2.776446e-14,0.000000e+00
0.000079,2.381191,-2.381191,-2.381191,-0.000000,-2.767120e-14,0.000000e+00
0.000080,2.408768,-2.408768,-2.408768,-0.000000,-2.757750e-14,0.000000e+00
0.000081,2.436251,-2.436251,-2.436251,-0.000000,-2.748202e-14,0.000000e+00
0.000082,2.463637,-2.463637,-2.463637,-0.000000,-2.738609e-14,0.000000e+00
0.000083,2.490926,-2.490926,-2.490926,-0.000000,-2.728884e-14,0.000000e+00
0.000084,2.518116,-2.518116,-2.518116,-0.000000,-2.719069e-14,0.000000e+00
0.000085,2.545207,-2.545207,-2.545207,-0.000000,-2.709122e-14,0.000000e+00
0.000086,2.572198,-2.572198,-2.572198,-0.000000,-2.699041e-14,0.000000e+00
0.000087,2.599087,-2.599087,-2.599087,-0.000000,-2.688916e-14,0.000000e+00
0.000088,2.625873,-2.625873,-2.625873,-0.000000,-2.678613e-14,0.000000e+00
0.000089,2.652556,-2.652556,-2.652556,-0.000000,-2.668310e-14,0.000000e+00
0.000090,2.679134,-2.679134,-2.679134,-0.000000,-2.657785e-14,0.000000e+00
0.000091,2.705606,-2.705606,-2.705606,-0.000000,-2.647260e-14,0.000000e+00
