time,V1,V2,V3,I_R,I_C,I_D1,I_D2,I_D3,I_D4
0.000000,-0.000000,0.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000008,-0.015708,0.015708,0.000000,0.000000e+00,0.000000e+00,-4.553747e-13,8.361246e-13,8.361246e-13,-4.553747e-13
0.000017,-0.031416,0.031416,0.000000,9.711949e-17,1.165434e-12,-7.033815e-13,2.371333e-12,2.371333e-12,-7.033815e-13
0.000025,-0.047123,0.047123,0.000000,3.917759e-16,3.535877e-12,-8.384511e-13,5.190077e-12,5.190077e-12,-8.384511e-13
0.000033,-0.062830,0.062830,0.000000,1.059578e-15,8.013627e-12,-9.120132e-13,1.036534e-11,1.036534e-11,-9.120132e-13
0.000042,-0.078537,0.078537,0.000000,2.418162e-15,1.630300e-11,-9.520773e-13,1.986693e-11,1.986693e-11,-9.520773e-13
0.000050,-0.094242,0.094242,0.000000,5.048058e-15,3.155876e-11,-9.738977e-13,3.731085e-11,3.731085e-11,-9.738977e-13
0.000058,-0.109947,0.109947,0.000000,1.001357e-14,5.958611e-11,-9.857823e-13,6.933463e-11,6.933463e-11,-9.857823e-13
0.000067,-0.125650,0.125650,0.000000,1.926702e-14,1.110414e-10,-9.922554e-13,1.281215e-10,1.281215e-10,-9.922554e-13
0.000075,-0.141353,0.141353,0.000000,3.639292e-14,2.055108e-10,-9.957812e-13,2.360319e-10,2.360319e-10,-9.957812e-13
0.000083,-0.157054,0.157054,0.000000,6.796980e-14,3.789226e-10,-9.977017e-13,4.341027e-10,4.341027e-10,-9.977017e-13
0.000092,-0.172753,0.172753,0.000000,1.260709e-13,6.972129e-10,-9.987479e-13,7.976393e-10,7.976393e-10,-9.987479e-13
0.000100,-0.188451,0.188451,0.000000,2.328521e-13,1.281375e-09,-9.993178e-13,1.464821e-09,1.464821e-09,-9.993178e-13
0.000108,-0.204147,0.204147,0.000000,4.289694e-13,2.353408e-09,-9.996283e-13,2.689171e-09,2.689171e-09,-9.996283e-13
0.000117,-0.219841,0.219841,0.000000,7.890195e-13,4.320601e-09,-9.997974e-13,4.935795e-09,4.935795e-09,-9.997974e-13
0.000125,-0.235532,0.235532,0.000000,1.449861e-12,7.930100e-09,-9.998896e-13,9.057865e-09,9.057865e-09,-9.998896e-13
0.000133,-0.251222,0.251222,0.000000,2.662557e-12,1.455235e-08,-9.999398e-13,1.662024e-08,1.662024e-08,-9.999398e-13
0.000142,-0.266908,0.266908,0.000000,4.887624e-12,2.670080e-08,-9.999672e-13,3.049279e-08,3.049279e-08,-9.999672e-13
0.000150,-0.282593,0.282593,0.000000,8.969674e-12,4.898460e-08,-9.999821e-13,5.593806e-08,5.593806e-08,-9.999821e-13
0.000158,-0.298274,0.298274,0.000000,1.645759e-11,8.985499e-08,-9.999903e-13,1.026048e-07,1.026048e-07,-9.999903e-13
0.000167,-0.313953,0.313953,0.000000,3.019141e-11,1.648059e-07,-9.999947e-13,1.881815e-07,1.881815e-07,-9.999947e-13
0.000175,-0.329628,0.329628,0.000000,5.537796e-11,3.022386e-07,-9.999971e-13,3.450906e-07,3.450906e-07,-9.999971e-13
0.000183,-0.345300,0.345300,0.000000,1.015619e-10,5.542072e-07,-9.999984e-13,6.327528e-07,6.327528e-07,-9.999984e-13
0.000192,-0.360969,0.360969,0.000000,1.862371e-10,1.016102e-06,-9.999991e-13,1.160051e-06,1.160051e-06,-9.999991e-13
0.000200,-0.376634,0.376634,0.000000,3.414621e-10,1.862700e-06,-9.999995e-13,2.126472e-06,2.126472e-06,-9.999995e-13
0.000208,-0.392295,0.392296,0.000001,6.259767e-10,3.414175e-06,-9.999997e-13,3.897431e-06,3.897431e-06,-9.999997e-13
0.000217,-0.407952,0.407954,0.000001,1.147389e-09,6.256953e-06,-9.999999e-13,7.142171e-06,7.142171e-06,-9.999999e-13
0.000225,-0.423606,0.423608,0.000002,2.102798e-09,1.146490e-05,-9.999999e-13,1.308611e-05,1.308611e-05,-9.999999e-13
0.000233,-0.439254,0.439258,0.000004,3.853134e-09,2.100404e-05,-1.000000e-12,2.397255e-05,2.397255e-05,-1.000000e-12
0.000242,-0.454897,0.454905,0.000007,7.059198e-09,3.847276e-05,-1.000000e-12,4.390689e-05,4.390689e-05,-1.000000e-12
