time,V1,V2,V3,I_R,I_C,I_D1_res,I_D1_cap,I_D2_res,I_D2_cap,I_D3_res,I_D3_cap,I_D4_res,I_D4_cap
0.000000,-0.000000,0.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000008,-0.015708,0.015708,0.000000,0.000000e+00,0.000000e+00,-1.138437e-08,-1.884952e-09,2.090311e-08,1.884952e-09,2.090311e-08,1.884952e-09,-1.138437e-08,-1.884952e-09
0.000017,-0.031416,0.031416,0.000000,2.431513e-12,2.917815e-08,-1.758454e-08,-1.864135e-09,5.928333e-08,1.906445e-09,5.928333e-08,1.906445e-09,-1.758454e-08,-1.864135e-09
0.000025,-0.047123,0.047123,0.000000,9.804979e-12,8.848160e-08,-2.096128e-08,-1.843973e-09,1.297519e-07,1.928672e-09,1.297519e-07,1.928672e-09,-2.096128e-08,-1.843973e-09
0.000033,-0.062830,0.062830,0.000000,2.651063e-11,2.004678e-07,-2.280033e-08,-1.824433e-09,2.591334e-07,1.951677e-09,2.591334e-07,1.951677e-09,-2.280033e-08,-1.824433e-09
0.000042,-0.078537,0.078537,0.000000,6.048935e-11,4.077446e-07,-2.380193e-08,-1.805482e-09,4.966728e-07,1.975507e-09,4.966728e-07,1.975507e-09,-2.380193e-08,-1.805482e-09
0.000050,-0.094242,0.094242,0.000000,1.262544e-10,7.891804e-07,-2.434744e-08,-1.787090e-09,9.327688e-07,2.000214e-09,9.327688e-07,2.000214e-09,-2.434744e-08,-1.787090e-09
0.000058,-0.109947,0.109947,0.000000,2.504130e-10,1.489903e-06,-2.464456e-08,-1.769231e-09,1.733357e-06,2.025854e-09,1.733357e-06,2.025854e-09,-2.464456e-08,-1.769231e-09
0.000067,-0.125650,0.125651,0.000000,4.817872e-10,2.776491e-06,-2.480639e-08,-1.751880e-09,3.203006e-06,2.052488e-09,3.203006e-06,2.052488e-09,-2.480639e-08,-1.751880e-09
0.000075,-0.141352,0.141353,0.000001,9.099801e-10,5.138315e-06,-2.489453e-08,-1.735013e-09,5.900693e-06,2.080180e-09,5.900693e-06,2.080180e-09,-2.489453e-08,-1.735013e-09
0.000083,-0.157053,0.157055,0.000002,1.699441e-09,9.473526e-06,-2.494254e-08,-1.718614e-09,1.085221e-05,2.109000e-09,1.085221e-05,2.109000e-09,-2.494254e-08,-1.718614e-09
0.000092,-0.172752,0.172755,0.000003,3.151960e-09,1.743024e-05,-2.496870e-08,-1.702666e-09,1.993976e-05,2.139020e-09,1.993976e-05,2.139020e-09,-2.496870e-08,-1.702666e-09
0.000100,-0.188448,0.188454,0.000006,5.821314e-09,3.203224e-05,-2.498295e-08,-1.687164e-09,3.661640e-05,2.170311e-09,3.661640e-05,2.170311e-09,-2.498295e-08,-1.687164e-09
0.000108,-0.204141,0.204152,0.000011,1.072348e-08,5.882601e-05,-2.499071e-08,-1.672112e-09,6.721533e-05,2.202938e-09,6.721533e-05,2.202938e-09,-2.499071e-08,-1.672112e-09
0.000117,-0.219831,0.219850,0.000020,1.972197e-08,1.079819e-04,-2.499494e-08,-1.657536e-09,1.233478e-04,2.236948e-09,1.233478e-04,2.236948e-09,-2.499494e-08,-1.657536e-09
0.000125,-0.235514,0.235550,0.000036,3.623351e-08,1.981385e-04,-2.499724e-08,-1.643497e-09,2.262880e-04,2.272341e-09,2.262880e-04,2.272341e-09,-2.499724e-08,-1.643497e-09
