Time(s),Switch State,V1(V),V2(V),V3(V),Capacitor Voltage(V)
0.000000,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000050,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000100,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000150,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000200,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000250,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000300,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000350,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000400,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000450,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000500,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000550,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000600,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000650,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000700,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000750,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000800,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000850,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000900,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.000950,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.001000,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.001050,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.001100,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.001150,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.001200,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.001250,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.001300,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.001350,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
0.001400,OPEN,-5.000000,-0.000000,-0.000000,-0.000000
